State,Indicator,Start week,All COVID-19 Deaths,Deaths with Pneumonia and COVID-19
United States,Week-ending,2/1/2020,0,0
United States,Week-ending,2/8/2020,0,0
United States,Week-ending,2/15/2020,0,0
United States,Week-ending,2/22/2020,0,0
United States,Week-ending,2/29/2020,5,3
United States,Week-ending,3/7/2020,25,14
United States,Week-ending,3/14/2020,49,25
United States,Week-ending,3/21/2020,487,224
United States,Week-ending,3/28/2020,2659,1220
United States,Week-ending,4/4/2020,7932,3813
United States,Week-ending,4/11/2020,11864,5281
United States,Week-ending,4/18/2020,9333,3874
United States,Week-ending,4/25/2020,2167,847
